"Année de naissance";"Sexe";"Age";"Quotient de mortalité par âge x (Qx)"
"1903";"Homme";"116 ans";1.000000
"1903";"Homme";"117 ans";1.000000
"1903";"Homme";"118 ans";1.000000
"1903";"Homme";"119 ans";1.000000
"1903";"Homme";"120 ans";1.000000
"1904";"Homme";"65 ans";0.029925
"1904";"Homme";"66 ans";0.029480
"1904";"Homme";"67 ans";0.034007
"1904";"Homme";"68 ans";0.035463
"1904";"Homme";"69 ans";0.036862
"1904";"Homme";"70 ans";0.041977
"1904";"Homme";"71 ans";0.045128
"1904";"Homme";"72 ans";0.044950
"1904";"Homme";"73 ans";0.053587
"1904";"Homme";"74 ans";0.057994
"1904";"Homme";"75 ans";0.059079
"1904";"Homme";"76 ans";0.066404
"1904";"Homme";"77 ans";0.069977
"1904";"Homme";"78 ans";0.075104
"1904";"Homme";"79 ans";0.079984
"1904";"Homme";"80 ans";0.093094
"1904";"Homme";"81 ans";0.104281
"1904";"Homme";"82 ans";0.100931
"1904";"Homme";"83 ans";0.114417
"1904";"Homme";"84 ans";0.120435
"1904";"Homme";"85 ans";0.145348
"1904";"Homme";"86 ans";0.142183
"1904";"Homme";"87 ans";0.157092
"1904";"Homme";"88 ans";0.172764
"1904";"Homme";"89 ans";0.183617
"1904";"Homme";"90 ans";0.209595
"1904";"Homme";"91 ans";0.235001
"1904";"Homme";"92 ans";0.241769
"1904";"Homme";"93 ans";0.270929
"1904";"Homme";"94 ans";0.293903
"1904";"Homme";"95 ans";0.307111
"1904";"Homme";"96 ans";0.350494
"1904";"Homme";"97 ans";0.333333
"1904";"Homme";"98 ans";0.366713
"1904";"Homme";"99 ans";0.400399
"1904";"Homme";"100 ans";0.375000
"1904";"Homme";"101 ans";0.400000
"1904";"Homme";"102 ans";0.407407
"1904";"Homme";"103 ans";0.187500
"1904";"Homme";"104 ans";0.664399
"1904";"Homme";"105 ans";0.000000
"1904";"Homme";"106 ans";0.250000
"1904";"Homme";"107 ans";0.714286
"1904";"Homme";"108 ans";1.000000
"1904";"Homme";"109 ans";1.000000
"1904";"Homme";"110 ans";1.000000
"1904";"Homme";"111 ans";1.000000
"1904";"Homme";"112 ans";1.000000
"1904";"Homme";"113 ans";1.000000
"1904";"Homme";"114 ans";1.000000
"1904";"Homme";"115 ans";1.000000
"1904";"Homme";"116 ans";1.000000
"1904";"Homme";"117 ans";1.000000
"1904";"Homme";"118 ans";1.000000
"1904";"Homme";"119 ans";1.000000
"1904";"Homme";"120 ans";1.000000
"1905";"Homme";"65 ans";0.028660
"1905";"Homme";"66 ans";0.031074
"1905";"Homme";"67 ans";0.032999
"1905";"Homme";"68 ans";0.035172
"1905";"Homme";"69 ans";0.037272
"1905";"Homme";"70 ans";0.039815
"1905";"Homme";"71 ans";0.044544
"1905";"Homme";"72 ans";0.048455
"1905";"Homme";"73 ans";0.051648
"1905";"Homme";"74 ans";0.055458
"1905";"Homme";"75 ans";0.056605
"1905";"Homme";"76 ans";0.061337
"1905";"Homme";"77 ans";0.069756
"1905";"Homme";"78 ans";0.076345
"1905";"Homme";"79 ans";0.084154
"1905";"Homme";"80 ans";0.089914
"1905";"Homme";"81 ans";0.091753
"1905";"Homme";"82 ans";0.100157
"1905";"Homme";"83 ans";0.113698
"1905";"Homme";"84 ans";0.125915
"1905";"Homme";"85 ans";0.135423
"1905";"Homme";"86 ans";0.148059
"1905";"Homme";"87 ans";0.150766
"1905";"Homme";"88 ans";0.172580
"1905";"Homme";"89 ans";0.183267
"1905";"Homme";"90 ans";0.210219
"1905";"Homme";"91 ans";0.232213
"1905";"Homme";"92 ans";0.239753
"1905";"Homme";"93 ans";0.283009
"1905";"Homme";"94 ans";0.262794
"1905";"Homme";"95 ans";0.294666
"1905";"Homme";"96 ans";0.305835
"1905";"Homme";"97 ans";0.388406
"1905";"Homme";"98 ans";0.417062
"1905";"Homme";"99 ans";0.301116
"1905";"Homme";"100 ans";0.458563
"1905";"Homme";"101 ans";0.434783
"1905";"Homme";"102 ans";0.500000
"1905";"Homme";"103 ans";0.615385
"1905";"Homme";"104 ans";0.400000
"1905";"Homme";"105 ans";0.333333
"1905";"Homme";"106 ans";0.500000
"1905";"Homme";"107 ans";1.000000
"1905";"Homme";"108 ans";1.000000
"1905";"Homme";"109 ans";1.000000
"1905";"Homme";"110 ans";1.000000
"1905";"Homme";"111 ans";1.000000
"1905";"Homme";"112 ans";1.000000
"1905";"Homme";"113 ans";1.000000
"1905";"Homme";"114 ans";1.000000
"1905";"Homme";"115 ans";1.000000
"1905";"Homme";"116 ans";1.000000
"1905";"Homme";"117 ans";1.000000
"1905";"Homme";"118 ans";1.000000
"1905";"Homme";"119 ans";1.000000
"1905";"Homme";"120 ans";1.000000
"1906";"Homme";"65 ans";0.027194
"1906";"Homme";"66 ans";0.028380
"1906";"Homme";"67 ans";0.032631
"1906";"Homme";"68 ans";0.035834
"1906";"Homme";"69 ans";0.037909
"1906";"Homme";"70 ans";0.041190
"1906";"Homme";"71 ans";0.040380
"1906";"Homme";"72 ans";0.046534
"1906";"Homme";"73 ans";0.051716
"1906";"Homme";"74 ans";0.057743
"1906";"Homme";"75 ans";0.059200
"1906";"Homme";"76 ans";0.064329
"1906";"Homme";"77 ans";0.067708
"1906";"Homme";"78 ans";0.073215
"1906";"Homme";"79 ans";0.080972
"1906";"Homme";"80 ans";0.084092
"1906";"Homme";"81 ans";0.093472
"1906";"Homme";"82 ans";0.100886
"1906";"Homme";"83 ans";0.116077
"1906";"Homme";"84 ans";0.126732
"1906";"Homme";"85 ans";0.129497
"1906";"Homme";"86 ans";0.138703
"1906";"Homme";"87 ans";0.154563
"1906";"Homme";"88 ans";0.167112
"1906";"Homme";"89 ans";0.186581
"1906";"Homme";"90 ans";0.205227
"1906";"Homme";"91 ans";0.216236
"1906";"Homme";"92 ans";0.236886
"1906";"Homme";"93 ans";0.248651
"1906";"Homme";"94 ans";0.264950
"1906";"Homme";"95 ans";0.311040
"1906";"Homme";"96 ans";0.346789
"1906";"Homme";"97 ans";0.373596
"1906";"Homme";"98 ans";0.426009
"1906";"Homme";"99 ans";0.375000
"1906";"Homme";"100 ans";0.325000
"1906";"Homme";"101 ans";0.481481
"1906";"Homme";"102 ans";0.428571
"1906";"Homme";"103 ans";0.437500
"1906";"Homme";"104 ans";0.333333
"1906";"Homme";"105 ans";0.347826
"1906";"Homme";"106 ans";0.653846
"1906";"Homme";"107 ans";0.000000
"1906";"Homme";"108 ans";0.000000
"1906";"Homme";"109 ans";0.000000
"1906";"Homme";"110 ans";0.000000
"1906";"Homme";"111 ans";1.000000
"1906";"Homme";"112 ans";1.000000
"1906";"Homme";"113 ans";1.000000
"1906";"Homme";"114 ans";1.000000
"1906";"Homme";"115 ans";1.000000
"1906";"Homme";"116 ans";1.000000
"1906";"Homme";"117 ans";1.000000
"1906";"Homme";"118 ans";1.000000
"1906";"Homme";"119 ans";1.000000
"1906";"Homme";"120 ans";1.000000
"1907";"Homme";"65 ans";0.027173
"1907";"Homme";"66 ans";0.029742
"1907";"Homme";"67 ans";0.034631
"1907";"Homme";"68 ans";0.033524
"1907";"Homme";"69 ans";0.038033
"1907";"Homme";"70 ans";0.039954
"1907";"Homme";"71 ans";0.040169
"1907";"Homme";"72 ans";0.046831
"1907";"Homme";"73 ans";0.049532
"1907";"Homme";"74 ans";0.054864
"1907";"Homme";"75 ans";0.059935
"1907";"Homme";"76 ans";0.060544
"1907";"Homme";"77 ans";0.065500
"1907";"Homme";"78 ans";0.070466
"1907";"Homme";"79 ans";0.078747
"1907";"Homme";"80 ans";0.081886
"1907";"Homme";"81 ans";0.096678
"1907";"Homme";"82 ans";0.108360
"1907";"Homme";"83 ans";0.112901
"1907";"Homme";"84 ans";0.121967
"1907";"Homme";"85 ans";0.117228
"1907";"Homme";"86 ans";0.142715
"1907";"Homme";"87 ans";0.153315
"1907";"Homme";"88 ans";0.173773
"1907";"Homme";"89 ans";0.186016
"1907";"Homme";"90 ans";0.203694
"1907";"Homme";"91 ans";0.223117
"1907";"Homme";"92 ans";0.235421
"1907";"Homme";"93 ans";0.262136
"1907";"Homme";"94 ans";0.271548
"1907";"Homme";"95 ans";0.292621
"1907";"Homme";"96 ans";0.336331
"1907";"Homme";"97 ans";0.346883
"1907";"Homme";"98 ans";0.327801
"1907";"Homme";"99 ans";0.413580
"1907";"Homme";"100 ans";0.410526
"1907";"Homme";"101 ans";0.428571
"1907";"Homme";"102 ans";0.312500
"1907";"Homme";"103 ans";0.409091
"1907";"Homme";"104 ans";0.702233
"1907";"Homme";"105 ans";0.000000
"1907";"Homme";"106 ans";0.666667
"1907";"Homme";"107 ans";1.000000
"1907";"Homme";"108 ans";1.000000
"1907";"Homme";"109 ans";1.000000
"1907";"Homme";"110 ans";1.000000
"1907";"Homme";"111 ans";1.000000
"1907";"Homme";"112 ans";1.000000
"1907";"Homme";"113 ans";1.000000
"1907";"Homme";"114 ans";1.000000
"1907";"Homme";"115 ans";1.000000
"1907";"Homme";"116 ans";1.000000
"1907";"Homme";"117 ans";1.000000
"1907";"Homme";"118 ans";1.000000
"1907";"Homme";"119 ans";1.000000
"1907";"Homme";"120 ans";1.000000
"1908";"Homme";"65 ans";0.025068
"1908";"Homme";"66 ans";0.029908
"1908";"Homme";"67 ans";0.030704
"1908";"Homme";"68 ans";0.031249
"1908";"Homme";"69 ans";0.035155
"1908";"Homme";"70 ans";0.039481
"1908";"Homme";"71 ans";0.040720
"1908";"Homme";"72 ans";0.045566
"1908";"Homme";"73 ans";0.048281
"1908";"Homme";"74 ans";0.050842
"1908";"Homme";"75 ans";0.056001
"1908";"Homme";"76 ans";0.060566
"1908";"Homme";"77 ans";0.064000
"1908";"Homme";"78 ans";0.069481
"1908";"Homme";"79 ans";0.076761
"1908";"Homme";"80 ans";0.085713
"1908";"Homme";"81 ans";0.093260
"1908";"Homme";"82 ans";0.097237
"1908";"Homme";"83 ans";0.111579
"1908";"Homme";"84 ans";0.118013
"1908";"Homme";"85 ans";0.132412
"1908";"Homme";"86 ans";0.134001
"1908";"Homme";"87 ans";0.152458
"1908";"Homme";"88 ans";0.166921
"1908";"Homme";"89 ans";0.187574
"1908";"Homme";"90 ans";0.214548
"1908";"Homme";"91 ans";0.233134
"1908";"Homme";"92 ans";0.244011
"1908";"Homme";"93 ans";0.234714
"1908";"Homme";"94 ans";0.303265
"1908";"Homme";"95 ans";0.281187
"1908";"Homme";"96 ans";0.319537
"1908";"Homme";"97 ans";0.333333
"1908";"Homme";"98 ans";0.314394
"1908";"Homme";"99 ans";0.447514
